full,abbreviated
ABBAYE,ABBA
AGGLOMERATION,AGGL
AIRE,AIRE
AIRES,AIRE
ALLEE,ALL
ALLEES,ALLE
ANCIEN CHEMIN,ANCI
ANCIENNE ROUTE,ANCI
ANCIENNES ROUTES,ANCI
ANCIENS CHEMINS,ANCI
ANSE,ANSE
ARCADE,ARCA
ARCADES,ARCA
AUTOROUTE,AUTO
AVENUE,AV
BARRIERE,BARR
BARRIERES,BARR
BAS CHEMIN,BAS
BASTIDE,BAST
BASTION,BAST
BEGUINAGE,BEGU
BEGUINAGES,BEGU
BERGE,BERG
BERGES,BERG
BOIS,BOIS
BOUCLE,BOUC
BOULEVARD,BD
BOURG,BOUR
BUTTE,BUTT
CALE,CALE
CAMP,CAMP
CAMPAGNE,CAMP
CAMPING,CAMP
CARRE,CARR
CARREAU,CARR
CARREFOUR,CARR
CARRIERE,CARR
CARRIERES,CARR
CASTEL,CAST
CAVEE,CAVE
CENTRAL,CENT
CENTRE,CTRE
CENTRE COMMERCIAL,CCAL
CHALET,CHAL
CHAPELLE,CHAP
CHARMILLE,CHAR
CHATEAU,CHAT
CHAUSSEE,CHAU
CHAUSSEES,CHAU
CHEMIN,CHEM
CHEMIN VICINAL,CHEM
CHEMINEMENT,CHEM
CHEMINEMENTS,CHEM
CHEMINS,CHEM
CHEMINS VICINAUX,CHEM
CHEZ,CHEZ
CITE,CITE
CITES,CITE
CLOITRE,CLOI
CLOS,CLOS
COL,COL
COLLINE,COLL
COLLINES,COLL
CONTOUR,CONT
CORNICHE,CORN
CORNICHES,CORN
COTE,COTE
COTEAU,COTE
COTTAGE,COTT
COTTAGES,COTT
COUR,COUR
COURS,COUR
DARSE,DARS
DEGRE,DEGR
DEGRES,DEGR
DESCENTE,DESC
DESCENTES,DESC
DIGUE,DIGU
DIGUES,DIGU
DOMAINE,DOMA
DOMAINES,DOMA
ECLUSE,ECLU
ECLUSES,ECLU
EGLISE,EGLI
ENCEINTE,ENCE
ENCLAVE,ENCL
ENCLOS,ENCL
ESCALIER,ESCA
ESCALIERS,ESCA
ESPACE,ESPA
ESPLANADE,ESPL
ESPLANADES,ESPL
ETANG,ETAN
FAUBOURG,FAUB
FERME,FERM
FERMES,FERM
FONTAINE,FONT
FORT,FORT
FORUM,FORU
FOSSE,FOSS
FOSSES,FOSS
FOYER,FOYE
GALERIE,GALE
GALERIES,GALE
GARE,GARE
GARENNE,GARE
GRAND BOULEVARD,GRAN
GRAND ENSEMBLE,GRAN
GRAND RUE,GRAN
GRANDE RUE,GRAN
GRANDES RUES,GRAN
GRANDS ENSEMBLES,GRAN
GRILLE,GRIL
