numero_uai;appellation_officielle;denomination_principale;patronyme_uai;secteur_public_prive_libe;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;libelle_commune;coordonnee_x;coordonnee_y;epsg;latitude;longitude;appariement;localisation;nature_uai;nature_uai_libe;etat_etablissement;etat_etablissement_libe;code_departement;code_region;code_academie;code_commune;libelle_departement;libelle_region;libelle_academie;position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0061852F;Lycée technologique privé La Providence;LYCEE TECHNOLOGIQUE PRIVE;LA PROVIDENCE;Privé;12 avenue Pierre Isnard;;;06200;NICE;Nice;1038580.9;6295929.5;EPSG:2154;43.681343414588106;7.199890003840733;Parfaite;Numéro de rue;301;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;1;OUVERT;006;93;23;06088;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.681343414588106,7.199890003840733;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1995-09-01
0061859N;Ecole maternelle La Baronne;ECOLE MATERNELLE PUBLIQUE;BARONNE MAT (LA);Public;2730 chemin Allo Marcellin;QUARTIER LA BARONNE;;06610;LA GAUDE;La Gaude;1036548.0;6300215.4;EPSG:2154;43.720824677776456;7.177530287396984;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;006;93;23;06065;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.720824677776456,7.177530287396984;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1996-08-28
0061860P;Ecole primaire Arziari;ECOLE PRIMAIRE PUBLIQUE;ARZIARI;Public;77 route de Turin;;;06300;NICE;Nice;1045134.2;6300018.0;EPSG:2154;43.71491340778249;7.283770555729401;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;006;93;23;06088;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.71491340778249,7.283770555729401;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1996-09-01
0061905N;Ecole maternelle privée internationale Waldorf;ECOLE MATERNELLE PRIVEE;INTERNATIONALE WALDORF MAT;Privé;403 corniche moyenne;;;06240;BEAUSOLEIL;Beausoleil;1056684.3;6304700.0;EPSG:2154;43.751248180829975;7.430090565458165;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;006;93;23;06012;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.751248180829975,7.430090565458165;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;1999-03-19
0061913X;Ecole maternelle Les Copains;ECOLE MATERNELLE PUBLIQUE;COPAINS MAT;Public;33 avenue Villaine;;;06240;BEAUSOLEIL;Beausoleil;1055789.1;6303439.3;EPSG:2154;43.74037265068026;7.418120033542456;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;006;93;23;06012;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.74037265068026,7.418120033542456;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2000-09-01
0061924J;Collège Les Mimosas;COLLEGE;LES MIMOSAS;Public;1216 avenue du Général Garbay;;;06210;MANDELIEU LA NAPOULE;Mandelieu-la-Napoule;1018288.4;6281834.9;EPSG:2154;43.56409837463051;6.939889425260129;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;006;93;23;06079;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.56409837463051,6.939889425260129;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2002-09-01
0062023S;Ecole maternelle Rosemarines;ECOLE MATERNELLE PUBLIQUE;ROSEMARINES MAT;Public;1333 route départementale 1;PLAN DE CARROS;;06510;CARROS;Carros;1037929.0;6306296.9;EPSG:2154;43.77481345014563;7.198650455098441;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;006;93;23;06033;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.77481345014563,7.198650455098441;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2006-09-01
0062024T;Ecole primaire Trois Collines;ECOLE PRIMAIRE PUBLIQUE;TROIS COLLINES (LES);Public;Allée des Séquoias;;;06250;MOUGINS;Mougins;1026132.3;6284985.1;EPSG:2154;43.588842009695256;7.03880968769295;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;006;93;23;06085;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.588842009695256,7.03880968769295;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2006-09-01
0062042M;Ecole primaire privée ICS Cote d'Azur;ECOLE PRIMAIRE PRIVEE;ECOLE BILINGUE INT.COTE D'AZUR;Privé;245 route des Lucioles;les espaces de Sophia;;06560;VALBONNE;Valbonne;1026651.4;6287902.2;EPSG:2154;43.61481561863741;7.047076877645473;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;006;93;23;06152;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.61481561863741,7.047076877645473;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2006-09-01
0062043N;Ecole élémentaire privée Alphabet;ECOLE ELEMENTAIRE PRIVEE;COURS L'ALPHABET;Privé;19 rue Fragonard;;;06800;CAGNES SUR MER;Cagnes-sur-Mer;1035315.3;6294369.9;EPSG:2154;43.66888409383387;7.158439580559806;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;006;93;23;06027;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;43.66888409383387,7.158439580559806;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2006-09-01
